,sub,set,split,modality,prompt,opt1,opt2
0,32,3,4,v,a6,a2,a3
1,32,3,4,a,h9,h1,h7
2,32,3,4,a,i2,i6,i7
3,32,3,4,v,i8,i5,i9
4,32,3,4,v,h10,h6,h8
5,32,3,4,a,h6,h1,h2
6,32,3,4,a,a10,a7,a9
7,32,3,4,v,a1,a10,a6
8,32,3,4,v,h4,h1,h10
9,32,3,4,a,a9,a1,a2
10,32,3,4,a,h5,h6,h9
11,32,3,4,v,a2,a1,a7
12,32,3,4,v,i6,i5,i9
13,32,3,4,a,a6,a3,a7
14,32,3,4,a,a7,a4,a5
15,32,3,4,a,a6,a2,a4
16,32,3,4,v,i4,i10,i3
17,32,3,4,v,a8,a2,a9
18,32,3,4,a,i6,i1,i10
19,32,3,4,a,i5,i4,i7
20,32,3,4,v,i9,i1,i4
21,32,3,4,v,i7,i10,i6
22,32,3,4,v,h8,h10,h7
23,32,3,4,a,i3,i1,i8
24,32,3,4,a,h2,h6,h7
25,32,3,4,v,i2,i5,i6
26,32,3,4,v,i2,i8,i9
27,32,3,4,a,i7,i2,i5
28,32,3,4,v,a1,a10,a4
29,32,3,4,a,i5,i3,i7
30,32,3,4,a,i7,i6,i8
31,32,3,4,a,h10,h1,h2
32,32,3,4,v,h1,h6,h8
33,32,3,4,v,a1,a2,a4
34,32,3,4,a,h5,h2,h8
35,32,3,4,a,a1,a4,a5
36,32,3,4,a,i2,i10,i6
37,32,3,4,v,i6,i3,i5
38,32,3,4,a,h6,h2,h9
39,32,3,4,a,i6,i10,i9
40,32,3,4,a,i2,i7,i8
41,32,3,4,v,a5,a10,a2
42,32,3,4,v,h9,h1,h2
43,32,3,4,a,i8,i1,i5
44,32,3,4,a,i8,i5,i6
45,32,3,4,v,h5,h4,h9
46,32,3,4,v,a3,a10,a9
47,32,3,4,a,h9,h4,h8
48,32,3,4,v,a6,a10,a8
49,32,3,4,v,h1,h2,h3
50,32,3,4,v,a10,a4,a5
51,32,3,4,a,h7,h6,h9
52,32,3,4,v,a3,a2,a4
53,32,3,4,v,i6,i2,i5
54,32,3,4,a,a3,a6,a9
55,32,3,4,a,i4,i1,i6
56,32,3,4,v,i8,i2,i3
57,32,3,4,a,i10,i3,i8
58,32,3,4,v,i6,i1,i5
59,32,3,4,a,a5,a4,a9
60,32,3,4,a,i3,i2,i8
61,32,3,4,a,h3,h10,h4
62,32,3,4,v,a5,a1,a7
63,32,3,4,v,h8,h5,h9
64,32,3,4,a,i1,i4,i7
65,32,3,4,a,i6,i7,i8
66,32,3,4,v,h3,h7,h9
67,32,3,4,v,i1,i2,i8
68,32,3,4,a,a7,a1,a4
69,32,3,4,v,h2,h1,h7
70,32,3,4,v,i3,i2,i7
71,32,3,4,a,i10,i4,i5
