,sub,set,split,modality,prompt,opt1,opt2
0,39,9,2,v,a9,a2,a5
1,39,9,2,v,t2,t4,t6
2,39,9,2,v,a4,a6,a9
3,39,9,2,v,a10,a3,a4
4,39,9,2,a,a3,a5,a8
5,39,9,2,v,t7,t1,t4
6,39,9,2,a,a2,a8,a9
7,39,9,2,v,a9,a1,a5
8,39,9,2,a,t1,t6,t8
9,39,9,2,a,t6,t10,t7
10,39,9,2,a,a5,a10,a2
11,39,9,2,a,a5,a3,a4
12,39,9,2,v,i6,i10,i3
13,39,9,2,a,i10,i4,i9
14,39,9,2,a,a7,a10,a4
15,39,9,2,a,t5,t3,t7
16,39,9,2,v,t5,t6,t8
17,39,9,2,a,a9,a5,a7
18,39,9,2,a,t5,t1,t8
19,39,9,2,v,t3,t6,t9
20,39,9,2,a,a10,a3,a5
21,39,9,2,a,t2,t1,t10
22,39,9,2,v,t4,t3,t7
23,39,9,2,a,a6,a1,a9
24,39,9,2,v,a7,a2,a4
25,39,9,2,v,i6,i5,i8
26,39,9,2,v,a6,a1,a4
27,39,9,2,a,t6,t2,t7
28,39,9,2,a,i7,i4,i9
29,39,9,2,v,i10,i3,i9
30,39,9,2,a,a1,a2,a6
31,39,9,2,v,t4,t5,t8
32,39,9,2,a,i8,i3,i6
33,39,9,2,a,a4,a1,a7
34,39,9,2,v,a3,a6,a8
35,39,9,2,v,i5,i4,i7
36,39,9,2,v,i5,i6,i9
37,39,9,2,v,t2,t10,t3
38,39,9,2,v,t2,t10,t4
39,39,9,2,v,i7,i10,i2
40,39,9,2,v,t8,t5,t6
41,39,9,2,a,t8,t1,t4
42,39,9,2,v,a8,a3,a7
43,39,9,2,v,t9,t6,t8
44,39,9,2,v,t4,t10,t9
45,39,9,2,v,t6,t7,t9
46,39,9,2,a,i10,i1,i3
47,39,9,2,v,t2,t3,t9
48,39,9,2,a,a10,a6,a9
49,39,9,2,a,t4,t3,t5
50,39,9,2,v,a6,a2,a9
51,39,9,2,a,a7,a3,a9
52,39,9,2,v,i5,i1,i10
53,39,9,2,v,t7,t1,t8
54,39,9,2,v,t6,t4,t9
55,39,9,2,v,i3,i1,i10
56,39,9,2,v,a4,a6,a7
57,39,9,2,a,a8,a1,a7
58,39,9,2,v,a4,a1,a9
59,39,9,2,a,i4,i1,i7
60,39,9,2,v,a3,a2,a7
61,39,9,2,a,t8,t7,t9
62,39,9,2,v,t6,t10,t3
63,39,9,2,a,a1,a6,a7
64,39,9,2,a,i1,i5,i9
65,39,9,2,v,a8,a3,a6
66,39,9,2,v,i6,i3,i4
67,39,9,2,v,a6,a1,a7
68,39,9,2,a,i3,i1,i2
69,39,9,2,a,i8,i5,i9
70,39,9,2,a,i9,i3,i6
71,39,9,2,a,t7,t10,t3
72,39,9,2,a,i3,i1,i10
73,39,9,2,v,a1,a5,a6
74,39,9,2,v,i7,i5,i9
75,39,9,2,a,a1,a3,a6
76,39,9,2,a,i6,i1,i5
77,39,9,2,v,t7,t1,t2
78,39,9,2,v,t9,t1,t5
79,39,9,2,a,t6,t1,t5
80,39,9,2,v,t3,t2,t5
81,39,9,2,a,t7,t2,t9
82,39,9,2,a,i2,i5,i9
83,39,9,2,a,t5,t1,t2
84,39,9,2,v,t9,t1,t3
85,39,9,2,a,t5,t6,t8
86,39,9,2,v,i9,i5,i6
87,39,9,2,a,t5,t1,t3
88,39,9,2,a,i9,i1,i2
89,39,9,2,a,t2,t6,t9
90,39,9,2,a,i9,i6,i8
91,39,9,2,a,i2,i4,i8
92,39,9,2,v,t6,t2,t9
93,39,9,2,a,t6,t3,t8
94,39,9,2,v,a3,a2,a9
95,39,9,2,v,t10,t6,t7
96,39,9,2,v,i8,i3,i7
97,39,9,2,v,i4,i1,i3
98,39,9,2,a,a2,a1,a8
99,39,9,2,a,i7,i10,i5
100,39,9,2,v,t6,t2,t4
101,39,9,2,v,a9,a1,a4
102,39,9,2,v,a1,a8,a9
103,39,9,2,v,i9,i1,i6
104,39,9,2,v,i10,i3,i6
105,39,9,2,v,t3,t1,t4
106,39,9,2,a,a6,a1,a2
107,39,9,2,a,t10,t7,t9
108,39,9,2,v,a3,a10,a5
109,39,9,2,a,t2,t3,t5
110,39,9,2,a,t8,t2,t7
111,39,9,2,v,i1,i10,i5
112,39,9,2,v,a4,a5,a9
113,39,9,2,a,a2,a4,a7
114,39,9,2,a,t2,t10,t8
115,39,9,2,a,i4,i1,i5
116,39,9,2,v,t1,t2,t5
117,39,9,2,a,t2,t5,t9
118,39,9,2,v,i9,i6,i8
119,39,9,2,v,a10,a2,a5
120,39,9,2,v,t8,t5,t7
121,39,9,2,a,a10,a5,a8
122,39,9,2,a,t10,t4,t8
123,39,9,2,v,a3,a5,a9
124,39,9,2,a,a10,a4,a8
125,39,9,2,v,t9,t1,t6
126,39,9,2,a,a9,a3,a4
127,39,9,2,a,i7,i2,i3
128,39,9,2,v,a3,a5,a6
129,39,9,2,a,i2,i3,i6
130,39,9,2,v,t4,t2,t5
131,39,9,2,v,i10,i5,i6
132,39,9,2,v,t9,t10,t8
133,39,9,2,a,i3,i6,i8
134,39,9,2,a,i7,i1,i3
135,39,9,2,v,i1,i4,i5
136,39,9,2,v,t4,t6,t9
137,39,9,2,v,i1,i5,i6
138,39,9,2,v,i3,i1,i9
139,39,9,2,a,i4,i2,i8
140,39,9,2,a,i10,i2,i3
141,39,9,2,a,t6,t1,t4
142,39,9,2,a,i10,i1,i2
143,39,9,2,a,i8,i6,i7
144,39,9,2,v,i3,i5,i9
145,39,9,2,v,i7,i4,i9
146,39,9,2,v,t9,t3,t8
147,39,9,2,v,i2,i3,i8
148,39,9,2,a,t10,t4,t6
149,39,9,2,v,i6,i3,i7
150,39,9,2,a,i8,i10,i3
151,39,9,2,a,t3,t5,t7
152,39,9,2,a,i7,i10,i9
153,39,9,2,a,a7,a1,a10
154,39,9,2,a,i8,i2,i7
155,39,9,2,a,i6,i1,i4
156,39,9,2,v,a9,a3,a5
157,39,9,2,v,a1,a5,a8
158,39,9,2,a,i3,i2,i9
159,39,9,2,a,t6,t2,t9
160,39,9,2,a,a3,a2,a6
161,39,9,2,a,a8,a4,a6
162,39,9,2,a,a2,a7,a9
163,39,9,2,a,t8,t10,t5
164,39,9,2,v,t3,t6,t8
165,39,9,2,a,t7,t1,t3
166,39,9,2,a,a9,a10,a3
167,39,9,2,v,i6,i1,i7
168,39,9,2,a,t8,t1,t3
169,39,9,2,v,i4,i10,i2
170,39,9,2,v,a2,a4,a6
171,39,9,2,a,t9,t3,t8
172,39,9,2,a,a10,a2,a6
173,39,9,2,v,t1,t3,t8
174,39,9,2,a,a9,a4,a7
175,39,9,2,a,i1,i6,i9
176,39,9,2,a,i1,i10,i2
177,39,9,2,a,a1,a10,a5
178,39,9,2,v,a4,a10,a5
179,39,9,2,v,a1,a2,a4
180,39,9,2,v,t3,t1,t9
181,39,9,2,a,a4,a8,a9
182,39,9,2,a,a6,a4,a9
183,39,9,2,a,t9,t3,t4
184,39,9,2,v,a7,a1,a2
185,39,9,2,v,i7,i2,i6
186,39,9,2,v,t10,t1,t5
187,39,9,2,v,a8,a10,a9
188,39,9,2,a,a1,a10,a6
189,39,9,2,a,a10,a1,a4
190,39,9,2,a,t9,t2,t5
191,39,9,2,v,i5,i1,i6
192,39,9,2,v,a2,a3,a8
193,39,9,2,a,i6,i4,i7
194,39,9,2,a,t10,t4,t5
195,39,9,2,a,i10,i2,i9
196,39,9,2,v,a7,a2,a8
197,39,9,2,a,i8,i3,i4
198,39,9,2,v,i3,i5,i7
199,39,9,2,a,i6,i5,i8
200,39,9,2,v,t3,t2,t4
201,39,9,2,v,t4,t3,t8
202,39,9,2,v,a10,a4,a7
203,39,9,2,v,i1,i2,i4
204,39,9,2,v,i8,i4,i9
205,39,9,2,a,t10,t7,t8
206,39,9,2,a,i10,i2,i8
207,39,9,2,v,a2,a8,a9
208,39,9,2,a,a8,a10,a2
209,39,9,2,v,a6,a3,a5
210,39,9,2,a,a8,a10,a3
211,39,9,2,a,i5,i10,i3
212,39,9,2,a,a4,a2,a9
213,39,9,2,v,t5,t4,t6
214,39,9,2,a,a3,a1,a6
215,39,9,2,v,t5,t4,t8
216,39,9,2,a,a9,a2,a7
217,39,9,2,v,i4,i1,i9
218,39,9,2,a,t1,t2,t6
219,39,9,2,a,t10,t5,t7
220,39,9,2,a,i2,i1,i9
221,39,9,2,v,t1,t10,t7
222,39,9,2,v,a5,a1,a7
223,39,9,2,v,a4,a5,a6
224,39,9,2,a,i4,i7,i8
225,39,9,2,v,a5,a3,a8
226,39,9,2,a,a5,a1,a10
227,39,9,2,a,a6,a2,a9
228,39,9,2,v,i3,i6,i7
229,39,9,2,a,i7,i5,i8
230,39,9,2,v,a5,a3,a4
231,39,9,2,v,a2,a1,a4
232,39,9,2,a,i10,i5,i9
233,39,9,2,v,t8,t7,t9
234,39,9,2,a,t3,t7,t8
235,39,9,2,a,t7,t3,t4
236,39,9,2,a,i9,i10,i8
237,39,9,2,v,a5,a1,a8
238,39,9,2,a,t4,t7,t8
239,39,9,2,a,i4,i2,i6
240,39,9,2,v,a1,a2,a3
241,39,9,2,a,a6,a1,a8
242,39,9,2,a,t10,t2,t4
243,39,9,2,v,i8,i10,i3
244,39,9,2,v,i5,i1,i3
245,39,9,2,v,i1,i10,i4
246,39,9,2,v,a10,a1,a7
247,39,9,2,a,t1,t10,t5
248,39,9,2,a,i1,i5,i8
249,39,9,2,a,t10,t6,t8
250,39,9,2,v,i9,i10,i5
251,39,9,2,v,t10,t1,t7
252,39,9,2,a,t1,t4,t7
253,39,9,2,a,i10,i5,i8
254,39,9,2,v,t9,t2,t7
255,39,9,2,v,i8,i3,i5
256,39,9,2,v,i10,i1,i9
257,39,9,2,v,i4,i5,i6
258,39,9,2,a,a5,a4,a7
259,39,9,2,v,t1,t10,t9
260,39,9,2,v,i8,i1,i7
261,39,9,2,v,i9,i4,i7
262,39,9,2,a,a1,a3,a4
263,39,9,2,a,t1,t10,t4
264,39,9,2,a,a10,a1,a6
265,39,9,2,v,a2,a1,a3
266,39,9,2,v,a7,a5,a6
267,39,9,2,v,t8,t6,t9
268,39,9,2,v,i10,i2,i7
269,39,9,2,a,t4,t2,t5
270,39,9,2,a,i4,i1,i8
271,39,9,2,v,i10,i1,i2
272,39,9,2,v,i2,i10,i5
273,39,9,2,a,t9,t2,t6
274,39,9,2,a,i5,i7,i8
275,39,9,2,a,i4,i2,i5
276,39,9,2,a,t8,t1,t10
277,39,9,2,a,t6,t4,t7
278,39,9,2,v,a5,a6,a9
279,39,9,2,a,t8,t3,t5
280,39,9,2,v,i2,i10,i6
281,39,9,2,a,t4,t1,t2
282,39,9,2,a,a5,a1,a7
283,39,9,2,v,t2,t1,t5
284,39,9,2,v,t3,t7,t8
285,39,9,2,a,a1,a10,a8
286,39,9,2,v,i8,i2,i5
287,39,9,2,v,a5,a8,a9
288,39,9,2,a,t9,t4,t8
289,39,9,2,v,t2,t6,t9
290,39,9,2,a,i1,i3,i6
291,39,9,2,a,a6,a3,a7
292,39,9,2,a,t6,t5,t8
293,39,9,2,v,a8,a2,a5
294,39,9,2,v,a9,a10,a4
