,sub,set,split,modality,prompt,opt1,opt2
0,86,9,4,a,a3,a4,a7
1,86,9,4,a,i8,i1,i5
2,86,9,4,v,h7,h10,h3
3,86,9,4,v,h4,h5,h8
4,86,9,4,v,i6,i1,i5
5,86,9,4,v,h5,h10,h7
6,86,9,4,a,a7,a10,a5
7,86,9,4,a,a4,a3,a8
8,86,9,4,v,i10,i6,i9
9,86,9,4,a,a5,a4,a9
10,86,9,4,a,i4,i3,i6
11,86,9,4,a,i3,i2,i6
12,86,9,4,a,i1,i3,i5
13,86,9,4,a,a4,a3,a9
14,86,9,4,a,a8,a4,a5
15,86,9,4,a,h3,h2,h7
16,86,9,4,v,i2,i3,i5
17,86,9,4,v,i4,i10,i7
18,86,9,4,v,i4,i7,i8
19,86,9,4,a,a2,a3,a9
20,86,9,4,a,h2,h4,h9
21,86,9,4,v,i2,i5,i8
22,86,9,4,v,h3,h10,h2
23,86,9,4,a,i10,i3,i9
24,86,9,4,v,h8,h1,h5
25,86,9,4,a,a3,a4,a8
26,86,9,4,a,i10,i1,i8
27,86,9,4,a,a1,a2,a6
28,86,9,4,a,a1,a2,a3
29,86,9,4,v,a4,a1,a10
30,86,9,4,v,i3,i8,i9
31,86,9,4,a,h4,h10,h6
32,86,9,4,v,i1,i3,i8
33,86,9,4,v,i6,i10,i2
34,86,9,4,a,h7,h1,h4
35,86,9,4,v,a7,a1,a10
36,86,9,4,a,a8,a5,a6
37,86,9,4,a,i9,i10,i4
38,86,9,4,v,h6,h10,h3
39,86,9,4,v,a1,a2,a5
40,86,9,4,v,h6,h3,h7
41,86,9,4,a,h3,h5,h7
42,86,9,4,v,i9,i2,i7
43,86,9,4,a,i10,i6,i8
44,86,9,4,v,h2,h4,h7
45,86,9,4,v,h1,h10,h7
46,86,9,4,a,h9,h3,h4
47,86,9,4,a,h3,h1,h7
48,86,9,4,v,i3,i10,i8
49,86,9,4,a,a2,a4,a9
50,86,9,4,a,h7,h4,h9
51,86,9,4,a,i5,i10,i4
52,86,9,4,v,h5,h2,h6
53,86,9,4,a,a9,a3,a8
54,86,9,4,v,a7,a2,a5
55,86,9,4,a,h6,h10,h5
56,86,9,4,v,h1,h10,h6
57,86,9,4,v,a8,a3,a9
58,86,9,4,v,h2,h4,h6
59,86,9,4,a,h6,h5,h7
60,86,9,4,a,a1,a10,a5
61,86,9,4,a,h8,h5,h6
62,86,9,4,a,a5,a6,a8
63,86,9,4,v,i2,i1,i10
64,86,9,4,a,h3,h1,h9
65,86,9,4,a,i6,i5,i8
66,86,9,4,v,a3,a10,a6
67,86,9,4,a,h9,h10,h8
68,86,9,4,v,a5,a1,a9
69,86,9,4,v,a6,a4,a9
